station_id,stationame,month_beginning,avg_weekday_rides,avg_saturday_rides,avg_sunday-holiday_rides,monthtotal
40900,Howard,07/01/2014,6307.3,4628.8,3814.6,176348
41190,Jarvis,07/01/2014,1691,1466,1259.2,49363
40100,Morse,07/01/2014,5076.4,3992.8,3455.2,144928
41300,Loyola,07/01/2014,4933,3935,3262.4,140579
40760,Granville,07/01/2014,4020.6,3169.3,2619.4,114227
40880,Thorndale,07/01/2014,2815.2,2173.8,1785.6,79557
41380,Bryn Mawr,07/01/2014,4932.7,3614.3,3157.6,138765
40340,Berwyn,07/01/2014,3506,2734.8,2373.4,99939
41200,Argyle,07/01/2014,3235.4,2524.8,2222.4,92389
40770,Lawrence,07/01/2014,3489,2910.8,2631.4,101559
40540,Wilson,07/01/2014,5485.4,3952.5,3271,152844
40080,Sheridan,07/01/2014,5404.1,4285.3,3351.6,152790
41420,Addison-North Main,07/01/2014,9930.2,13701.8,8984.8,318195
41320,Belmont-North Main,07/01/2014,13005.5,11689.8,9090.2,378332
41220,Fullerton,07/01/2014,10604.4,9087.3,7018,304735
40650,North/Clybourn,07/01/2014,5995.8,5117.5,3957.8,172166
40630,Clark/Division,07/01/2014,7475.7,7090.5,5900.4,222329
41450,Chicago/State,07/01/2014,16550.6,14909.3,11985.6,483678
40330,Grand/State,07/01/2014,13379.3,14516.5,11986.6,412344
41660,Lake/State,07/01/2014,21671.8,14700.3,11218,591670
41090,Monroe/State,07/01/2014,11210.5,5394.8,4290.6,289662
40560,Jackson/State,07/01/2014,10678.7,5982,5414.2,285931
41490,Harrison,07/01/2014,2955.4,2710.8,2172.8,86725
41400,Roosevelt,07/01/2014,11984.8,10888.8,9918,356811
41000,Cermak-Chinatown,07/01/2014,4448.2,5026.5,4593.6,140934
40190,Sox-35th-Dan Ryan,07/01/2014,4981.8,4874.3,4344.8,150821
41230,47th-Dan Ryan,07/01/2014,3237.4,2405.8,2071.4,91203
41170,Garfield-Dan Ryan,07/01/2014,3761.9,2885,2399.8,106300
40910,63rd-Dan Ryan,07/01/2014,3326.8,2440,2249,94195
40990,69th,07/01/2014,5452.1,4039.5,3587.8,154043
40240,79th,07/01/2014,7333.4,5347.3,4837.2,206910
41430,87th,07/01/2014,4794.3,3487.8,3081,134830
40450,95th/Dan Ryan,07/01/2014,11519.7,7279.5,6492,315011
41050,Linden,07/01/2014,1108.5,928.3,638.8,31293
41250,Central-Evanston,07/01/2014,873.9,417,423.8,23012
40400,Noyes,07/01/2014,865.2,467.3,416.8,22987
40520,Foster,07/01/2014,883.2,542.8,453.4,23868
40050,Davis,07/01/2014,4021.3,2955.3,2271.6,111648
40690,Dempster,07/01/2014,953.2,783.3,638.4,27295
40270,Main,07/01/2014,1270.7,971.8,721.6,35451
40840,South Boulevard,07/01/2014,845.6,503.8,393,22584
40140,Dempster-Skokie,07/01/2014,2472.9,1600.8,1261.6,67115
41680,Oakton-Skokie,07/01/2014,1074.5,551.5,470.8,28200
40890,O'Hare Airport,07/01/2014,11359.9,9013,10210.2,337021
40820,Rosemont,07/01/2014,7240.5,5183.8,4437.6,202214
40230,Cumberland,07/01/2014,4769.8,3060.5,2351.8,128937
40750,Harlem-O'Hare,07/01/2014,3064.2,1573.3,1282.4,80118
41280,Jefferson Park,07/01/2014,7067.4,3918,3326.8,187789
41330,Montrose-O'Hare,07/01/2014,2519.2,1284,1112.2,66120
40550,Irving Park-O'Hare,07/01/2014,4495.2,2514,2152.4,119713
41240,Addison-O'Hare,07/01/2014,2857.4,1623.8,1341.4,76065
40060,Belmont-O'Hare,07/01/2014,5332.9,3074.5,2667,142956
41020,Logan Square,07/01/2014,6887.2,4648.5,3075.8,185491
40570,California/Milwaukee,07/01/2014,5032.3,2372.5,2033.4,130367
40670,Western/Milwaukee,07/01/2014,5232.3,4371.3,2742,146305
40590,Damen/Milwaukee,07/01/2014,7036.7,5803.8,4436.2,200204
40320,Division/Milwaukee,07/01/2014,6016.3,3686,3059.2,162399
41410,Chicago/Milwaukee,07/01/2014,4156.3,2096,1713.2,108388
40490,Grand/Milwaukee,07/01/2014,2767.6,1742,1542.8,75569
40370,Washington/Dearborn,07/01/2014,11836.2,6331.3,5087.2,311158
40790,Monroe/Dearborn,07/01/2014,7605.2,2256.3,2149.2,187086
40070,Jackson/Dearborn,07/01/2014,7983,3606.5,3589.2,207999
41340,LaSalle,07/01/2014,2747.6,1286.8,1119.8,71194
40430,Clinton-Forest Park,07/01/2014,3831.1,1534.5,1438.8,97616
40350,UIC-Halsted,07/01/2014,3997,1945.3,1327.2,102351
40470,Racine,07/01/2014,1976.4,1200.8,1057.4,53571
40810,Medical Center,07/01/2014,3330,1040.5,836.2,81602
40220,Western-Forest Park,07/01/2014,1620.5,1139.8,1013.6,45278
40250,Kedzie-Homan-Forest Park,07/01/2014,2358.7,1523.8,1384.6,64910
40920,Pulaski-Forest Park,07/01/2014,2002.4,1511.8,1408.2,57140
40970,Cicero-Forest Park,07/01/2014,1481.5,1034.3,868,41071
40010,Austin-Forest Park,07/01/2014,2123.3,1069.5,946.2,55721
40180,Oak Park-Forest Park,07/01/2014,1927.2,860.5,746.8,49574
40980,Harlem-Forest Park,07/01/2014,1184.7,672.5,600.2,31754
40390,Forest Park,07/01/2014,4018.1,2269,1873.6,106843
41030,Polk,07/01/2014,3383.8,884.3,757.2,81766
40830,18th,07/01/2014,1970.2,1368,1146.6,54550
40210,Damen-Cermak,07/01/2014,1524.9,900,759.6,40946
40740,Western-Cermak,07/01/2014,1221.2,803.3,646.2,33310
40440,California-Cermak,07/01/2014,1486,963.3,761,40349
41040,Kedzie-Cermak,07/01/2014,1107.6,737.8,617.8,30408
